Date,Stock price,,,,
2013/6/2,14.02,,,,
2013/6/3,13.68,,,,
2013/6/4,13.66,,,,
2013/6/5,13.12,,,,
2013/6/6,13,,,,
2013/6/7,13,,,,
2013/6/8,13,,,,
2013/6/9,13,,,,
2013/6/10,13.1,,,,
2013/6/11,13,,,,
2013/6/12,13,,,,
2013/6/13,12.92,,,,
2013/6/14,12.6,,,,
2013/6/15,12.6,,,,
2013/6/16,12.6,,,,
2013/6/17,12.8,,,,
2013/6/18,12.94,,,,
2013/6/19,13.06,,,,
2013/6/20,12.92,,,,
2013/6/21,12.8,,,,
2013/6/22,12.8,,,,
2013/6/23,12.8,,,,
2013/6/24,12.92,,,,
2013/6/25,12.82,,,,
2013/6/26,12.7,,,,
2013/6/27,12.74,,,,
2013/6/28,12.72,,,,
2013/6/29,12.72,,,,
2013/6/30,12.72,,,,
